isin,company,field,old,new,severity
INE1PJP01015,M P K Steels (I) Ltd.,ticker_bo,MPKSTEELS,544553,BSE_FMT
INE0KN201016,Indong Tea Co.Ltd.,ticker_bo,INDONG,543769,BSE_FMT
INE0WXM01011,CapitalNumbers Infotech Ltd.,ticker_bo,CNINFOTECH,544343,BSE_FMT
INE0SG001011,Travels & Rentals Ltd.,ticker_bo,TRAVELS,544242,BSE_FMT
INE0SG001011,Travels & Rentals Ltd.,listing_open,50.35,55.00,SOFT
INE0S6R01027,Dindigul Farm Product Ltd.,ticker_bo,DFPL,544201,BSE_FMT
INE0OMZ01013,Vruddhi Engineering Works Ltd.,ticker_bo,VRUDDHI,544157,BSE_FMT
INE0OPC01015,Interiors & More Ltd.,listing_open,135,270.00,SOFT
INE0ABU01016,PDP Shipping & Projects Ltd.,ticker_bo,PSPL,544378,BSE_FMT
INE0QJ901011,Digikore Studios Ltd.,listing_open,135,270.00,SOFT
INE517M01028,Polysil Irrigation Systems Ltd.,listing_open,46.35,56.00,SOFT
INE0GEN01012,New Swan Multitech Ltd.,ticker_bo,SWANAGRO,544082,BSE_FMT
INE0SMU01015,TGIF Agribusiness Ltd.,ticker_bo,TGIF,544175,BSE_FMT
INE0NB801022,Sat Kartar Shopping Ltd.,listing_open,169.6,153.90,SOFT
INE0QZ901011,Magenta Lifecare Ltd.,ticker_bo,MAGENTA,544188,BSE_FMT
INE0D8001018,Shining Tools Ltd.,ticker_bo,SHTL,544607,BSE_FMT
INE0V0L01028,Monarch Surveyors & Engineering Consultants Ltd.,ticker_bo,MSECL,544453,BSE_FMT
INE0W5Q01017,Justo Realfintech Ltd.,ticker_bo,JUSTO,544542,BSE_FMT
INE602W01027,Senco Gold Ltd.,listing_open,215.5,431.00,SOFT
INE0P7001013,Sancode Technologies Ltd.,ticker_bo,SANCODE,543897,BSE_FMT
INE0S5T01017,Rukmani Devi Garg Agro Impex Ltd.,ticker_bo,RDGAIL,544552,BSE_FMT
INE0R5Z01015,Mayank Cattle Food Ltd.,ticker_bo,MCFL,544106,BSE_FMT
INE0Q5D01013,Accent Microcell Ltd.,listing_open,283.77,300.00,SOFT
INE0QSB01016,Amkay Products Ltd.,ticker_bo,AMKAY,544169,BSE_FMT
INE0OH401016,KK Shah Hospitals Ltd.,ticker_bo,KKSHL,544013,BSE_FMT
INE0R1601012,Presstonic Engineering Ltd.,listing_open,118.9,140.00,SOFT
INE0R8Q01018,Om Metallogic Ltd.,ticker_bo,OML,544559,BSE_FMT
INE0XAY01012,Toss The Coin Ltd.,ticker_bo,TTC,544303,BSE_FMT
INE1KH601014,Mehul Colours Ltd.,ticker_bo,MEHUL,544472,BSE_FMT
INE0KWJ01014,Retaggio Industries Ltd.,ticker_bo,RETAGGIO,544391,BSE_FMT
INE0LB101011,NACDAC Infrastructure Ltd.,ticker_bo,NACDAC,544313,BSE_FMT
INE0U6201010,Subam Papers Ltd.,ticker_bo,SUBAM,544267,BSE_FMT
INE0RQZ01017,Esconet Technologies Ltd.,listing_open,248.7,290.00,SOFT
INE0MV001018,Manoj Jewellers Ltd.,ticker_bo,MANOJJEWEL,544400,BSE_FMT
INE0LDI01022,Innokaiz India Ltd.,ticker_bo,INNOKAIZ,543905,BSE_FMT
INE0RWU01016,GB Logistics Commerce Ltd.,ticker_bo,GBLOGISTIC,544348,BSE_FMT
INE1B3501014,Zelio E-Mobility Ltd.,ticker_bo,ZELIO,544563,BSE_FMT
INE1ITY01011,Global Ocean Logistics India Ltd.,ticker_bo,GLOBALLOG,544665,BSE_FMT
INE0XCV01014,Aten Papers & Foam Ltd.,ticker_bo,ATENPAPERS,544417,BSE_FMT
INE0P3N01018,Kaka Industries Ltd.,ticker_bo,KAKA,543939,BSE_FMT
INE0R6801013,Varyaa Creations Ltd.,ticker_bo,VARYAA,544168,BSE_FMT
INE0O1T01010,Maiden Forgings Ltd.,ticker_bo,MAIDEN,543874,BSE_FMT
INE0TBQ01014,Marc Loire Fashions Ltd.,ticker_bo,MARCLOIRE,544437,BSE_FMT
INE0DZD01015,H.M.Electro Mech Ltd.,ticker_bo,HMEML,544349,BSE_FMT
INE0O4R01018,Kore Digital Ltd.,listing_open,67,201.00,SOFT
INE0NZF01019,Alphalogic Industries Ltd.,ticker_bo,ALPHAIND,543937,BSE_FMT
INE0NZF01019,Alphalogic Industries Ltd.,listing_open,48,96.00,SOFT
INE0RDR01012,Swashthik Plascon Ltd.,ticker_bo,SPL,544035,BSE_FMT
INE013V01011,Shelter Pharma Ltd.,ticker_bo,SHELTER,543963,BSE_FMT
INE10CM01027,Sunsky Logistics Ltd.,ticker_bo,SUNSKY,544566,BSE_FMT
INE0JZS01010,SVJ Enterprises Ltd.,ticker_bo,SVJ,543799,BSE_FMT
INE0BUQ01012,Gallard Steel Ltd.,ticker_bo,GALLARD,544616,BSE_FMT
INE0S0I01011,United Cotfab Ltd.,ticker_bo,COTFAB,544195,BSE_FMT
INE05DH01017,Atmastco Ltd.,listing_open,105.3,91.00,SOFT
INE1IJQ01026,Bai Kakaji Polymers Ltd.,ticker_bo,BAIKAKAJI,544670,BSE_FMT
INE0O4601016,Sealmatic India Ltd.,ticker_bo,SEALMATIC,543782,BSE_FMT
INE0O4601016,Sealmatic India Ltd.,listing_open,187.5,225.00,SOFT
INE0XZB01017,Krupalu Metals Ltd.,ticker_bo,KRUPALU,544509,BSE_FMT
INE0XX801016,Sugs Lloyd Ltd.,ticker_bo,SUGSLLOYD,544501,BSE_FMT
INE0QQG01019,Royal Sense Ltd.,ticker_bo,ROYAL,544143,BSE_FMT
INE0O8901016,Exhicon Events Media Solutions Ltd.,ticker_bo,EXHICON,543895,BSE_FMT
INE0Q6L01014,Brisk Technovision Ltd.,ticker_bo,BRISK,544101,BSE_FMT
INE1A8F01035,Earkart Ltd.,ticker_bo,EARKART,544549,BSE_FMT
INE0QBD01018,Hamps Bio Ltd.,ticker_bo,HAMPS,544312,BSE_FMT
INE0QBD01018,Hamps Bio Ltd.,listing_open,48.45,96.90,SOFT
INE0R4W01015,Piotex Industries Ltd.,ticker_bo,PIOTEX,544178,BSE_FMT
INE0OJ401014,Bizotic Commercial Ltd.,ticker_bo,BIZOTIC,543926,BSE_FMT
INE0PUC01020,SAR Televenture Ltd.,listing_open,90.93,105.00,SOFT
INE130701019,Valencia India Ltd.,ticker_bo,VALINDIA,544433,BSE_FMT
INE0P1Q01015,Service Care Ltd.,listing_open,64.35,70.90,SOFT
INE15WN01014,Repono Ltd.,ticker_bo,REPONO,544463,BSE_FMT
INE301O01023,National Securities Depository Ltd.,ticker_bo,NSDL,544467,BSE_FMT
INE0QJL01014,Thaai Casting Ltd.,listing_open,214,185.90,SOFT
INE18PB01017,Bhavik Enterprises Ltd.,ticker_bo,BHAVIK,544551,BSE_FMT
INE1MF401019,Western Overseas Study Abroad Ltd.,ticker_bo,WOSAL,544636,BSE_FMT
INE0LS001014,Usha Financial Services Ltd.,listing_open,82,164.00,SOFT
INE1KLZ01011,Systematic Industries Ltd.,ticker_bo,SYSTEMATIC,544541,BSE_FMT
INE10XX01012,Spinaroo Commercial Ltd.,ticker_bo,SPINAROO,544392,BSE_FMT
