isin,company_name,type,year,missing
INE0AU701018,ICL Organic Dairy Products Ltd.,SME,2020,"subscription,financials,gmp (no Sharescart 2020-22)"
INE07QQ01016,Chandra Bhagat Pharma Ltd.,SME,2020,"subscription,financials,gmp (no Sharescart 2020-22)"
INE813V01022,Madhav Copper Ltd. FPO,SME,2020,"subscription,financials,gmp (no Sharescart 2020-22)"
INE04OV01018,Janus Corp.Ltd.,SME,2020,"subscription,financials,gmp (no Sharescart 2020-22)"
INE0BIW01023,Tranway Technologies Ltd.,SME,2020,"subscription,financials,gmp (no Sharescart 2020-22)"
INE05X901010,HindPrakash Industries Ltd.,SME,2020,"subscription,financials,gmp (no Sharescart 2020-22)"
INE0DRT01018,Fabino Life Sciences Ltd.,SME,2021,"subscription,financials,gmp (no Sharescart 2020-22)"
INE0IJY01014,Timescan Logistics (India) Ltd.,SME,2021,"subscription,financials,gmp (no Sharescart 2020-22)"
INE0E4I01027,Ascensive Educare Ltd.,SME,2021,"subscription,financials,gmp (no Sharescart 2020-22)"
INE08PH01015,AB Cotspin India Ltd.,SME,2021,"subscription,financials,gmp (no Sharescart 2020-22)"
INE0ILD01014,Brandbucket Media & Technology Ltd.,SME,2021,"subscription,financials,gmp (no Sharescart 2020-22)"
INE0IA701014,Vivo Collaboration Solutions Ltd.,SME,2021,"subscription,financials,gmp (no Sharescart 2020-22)"
INE0IM001015,Wherrelz IT Solutions Ltd.,SME,2021,"subscription,financials,gmp (no Sharescart 2020-22)"
INE0JJS01014,Clara Industries Ltd.,SME,2021,"subscription,financials,gmp (no Sharescart 2020-22)"
INE505V01016,Euro Panel Products Ltd.,SME,2021,"subscription,financials,gmp (no Sharescart 2020-22)"
INE0I7D01019,Foce India Ltd.,SME,2021,"subscription,financials,gmp (no Sharescart 2020-22)"
INE0JM501013,Nupur Recyclers Ltd.,SME,2021,"subscription,financials,gmp (no Sharescart 2020-22)"
INE07L501010,DMR Hydroengineering & Infrastructures Ltd.,SME,2021,"subscription,financials,gmp (no Sharescart 2020-22)"
INE0JFE01012,Omnipotent Industries Ltd.,SME,2021,"subscription,financials,gmp (no Sharescart 2020-22)"
INE07GA01011,Suyog Gurbaxani Funicular Ropeways Ltd.,SME,2021,"subscription,financials,gmp (no Sharescart 2020-22)"
INE0J6L01013,Nidan Laboratories & Healthcare Ltd.,SME,2021,"subscription,financials,gmp (no Sharescart 2020-22)"
INE0J0B01017,Kotyark Industries Ltd.,SME,2021,"subscription,financials,gmp (no Sharescart 2020-22)"
INE0GN101014,D.K.Enterprises Global Ltd.,SME,2021,"subscription,financials,gmp (no Sharescart 2020-22)"
INE0IGO01011,Destiny Logistics & Infra Ltd.,SME,2021,"subscription,financials,gmp (no Sharescart 2020-22)"
INE0DZ701010,Dynamic Services & Security Ltd.,SME,2021,"subscription,financials,gmp (no Sharescart 2020-22)"
INE0GD201014,Samor Reality Ltd.,SME,2021,"subscription,financials,gmp (no Sharescart 2020-22)"
INE0CWK01019,Adishakti Loha & Ispat Ltd.,SME,2021,"subscription,financials,gmp (no Sharescart 2020-22)"
INE0H8H01019,CWD Ltd.,SME,2021,"subscription,financials,gmp (no Sharescart 2020-22)"
INE0I2F01015,Promax Power Ltd.,SME,2021,"subscription,financials,gmp (no Sharescart 2020-22)"
INE0I3Y01014,Bombay Metrics Supply Chain Ltd.,SME,2021,"subscription,financials,gmp (no Sharescart 2020-22)"
INE0HLJ01013,Shri Venkatesh Refineries Ltd.,SME,2021,"subscription,financials,gmp (no Sharescart 2020-22)"
INE02KC01010,Jainam Ferro Alloys (I) Ltd.,SME,2021,"subscription,financials,gmp (no Sharescart 2020-22)"
INE0H1201020,Getalong Enterprise Ltd.,SME,2021,"subscription,financials,gmp (no Sharescart 2020-22)"
INE0GOJ01027,Quadpro ITeS Ltd.,SME,2021,"subscription,financials,gmp (no Sharescart 2020-22)"
INE0DLM01024,SBL Infratech Ltd.,SME,2021,"subscription,financials,gmp (no Sharescart 2020-22)"
INE0FW001016,Markolines Traffic Controls Ltd.,SME,2021,"subscription,financials,gmp (no Sharescart 2020-22)"
INE0GAO01018,Prevest Denpro Ltd.,SME,2021,"subscription,financials,gmp (no Sharescart 2020-22)"
INE0HQI01014,BEW Engineering Ltd.,SME,2021,"subscription,financials,gmp (no Sharescart 2020-22)"
INE0DTJ01015,Platinumone Business Services Ltd.,SME,2021,"subscription,financials,gmp (no Sharescart 2020-22)"
INE0GOA01018,Naapbooks Ltd.,SME,2021,"subscription,financials,gmp (no Sharescart 2020-22)"
INE0HPK01012,DU Digital Technologies Ltd.,SME,2021,"subscription,financials,gmp (no Sharescart 2020-22)"
INE0EAX01014,Aashka Hospitals Ltd.,SME,2021,"subscription,financials,gmp (no Sharescart 2020-22)"
INE00D001018,Rex Pipes & Cables Industries Ltd.,SME,2021,"subscription,financials,gmp (no Sharescart 2020-22)"
INE0FFK01017,Network People Services Technologies Ltd.,SME,2021,"subscription,financials,gmp (no Sharescart 2020-22)"
INE199P01028,Gretex Corporate Services Ltd.,SME,2021,"subscription,financials,gmp (no Sharescart 2020-22)"
INE0C5901022,AA Plus Tradelink Ltd.,SME,2021,"subscription,financials,gmp (no Sharescart 2020-22)"
INE0DXR01010,Focus Business Solution Ltd.,SME,2021,"subscription,financials,gmp (no Sharescart 2020-22)"
INE0G2G01015,Walpar Nutritions Ltd.,SME,2021,"subscription,financials,gmp (no Sharescart 2020-22)"
INE0B6101012,Times Green Energy (India) Ltd.,SME,2021,"subscription,financials,gmp (no Sharescart 2020-22)"
INE0H8J01015,Adeshwar Meditex Ltd.,SME,2021,"subscription,financials,gmp (no Sharescart 2020-22)"
INE0DB001013,Navoday Enterprises Ltd.,SME,2021,"subscription,financials,gmp (no Sharescart 2020-22)"
INE0CAJ01017,Abhishek Integrations Ltd.,SME,2021,"subscription,financials,gmp (no Sharescart 2020-22)"
INE04CO01018,Kuberan Global Edu Solutions Ltd.,SME,2021,"subscription,financials,gmp (no Sharescart 2020-22)"
INE0D9X01018,Jetmall Spices & Masala Ltd.,SME,2021,"subscription,financials,gmp (no Sharescart 2020-22)"
INE0CQ101015,Rajeshwari Cans Ltd.,SME,2021,"subscription,financials,gmp (no Sharescart 2020-22)"
INE0GXK01018,V-Marc India Ltd.,SME,2021,"subscription,financials,gmp (no Sharescart 2020-22)"
INE0CPR01018,EKI Energy Services Ltd.,SME,2021,"subscription,financials,gmp (no Sharescart 2020-22)"
INE0A1E01018,Siddhika Coatings Ltd.,SME,2021,"subscription,financials,gmp (no Sharescart 2020-22)"
