isin,company_name,type,nse_symbol,bse_script_code,open_date,close_date,listing_date,issue_price,issue_amount_cr,pricing_method,listing_at,lead_manager,year,cohort,net_sales_yr1,net_sales_yr2,net_sales_yr3,operating_profit_yr1,operating_profit_yr2,operating_profit_yr3,pat_yr1,pat_yr2,pat_yr3,eps_yr1,eps_yr2,eps_yr3,borrowings_yr1,borrowings_yr2,borrowings_yr3,total_assets_yr1,total_assets_yr2,total_assets_yr3,operating_cf_yr1,operating_cf_yr2,operating_cf_yr3,shareholder_funds_yr1,shareholder_funds_yr2,shareholder_funds_yr3,pre_ipo_net_sales,pre_ipo_pat,pre_ipo_pat_margin_pct,pre_ipo_roe_pct,pre_ipo_debt_equity,pre_ipo_fin_year,pre_ipo_years_available,pat_yr3_src,market_maker,market_maker_src,fresh_issue_cr,fresh_issue_cr_src,ofs_cr,ofs_cr_src,ofs_pct,ofs_pct_src,anchor_allocation_cr,anchor_allocation_cr_src,listing_open,listing_open_src,listing_high,listing_high_src,listing_low,listing_low_src,listing_close,listing_close_src,objects_of_issue,objects_of_issue_src,issue_size_cr,issue_size_cr_src
INE090Y01013,Cadsys (India) Ltd.,SME,CADSYS,,2017-09-21,2017-09-25,2017-10-04,70.00,14.70,Fixed Price,NSE SME,Saffron Capital,2017,2006-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,New Berry Capitals Pvt.Ltd.,chittorgarh,14,chittorgarh,1.00,chittorgarh,6.7,chittorgarh,,,84.00,chittorgarh,84.00,chittorgarh,72.10,chittorgarh,84.00,chittorgarh,Part Repayment / prepayment of the long term borrowing availed by the Company | General Corporate purposes,chittorgarh,15,chittorgarh
INE777X01017,AKM Lace & Embrotex Ltd.,SME,,540718,2017-09-20,2017-09-22,2017-09-29,25.00,4.76,Fixed Price,BSE SME,Aryaman Financial,2017,2006-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MSB E-Trade Securities Ltd.,chittorgarh,5,chittorgarh,0.00,chittorgarh,0.0,chittorgarh,,,25.50,chittorgarh,25.55,chittorgarh,23.60,chittorgarh,24.90,chittorgarh,Working Capital Requirement | General Corporate Purposes,chittorgarh,5,chittorgarh
INE219Y01026,R M Drip & Sprinklers Systems Ltd.,SME,RMDRIP,544456,2017-09-19,2017-09-25,2017-10-04,57.00,11.46,Bookbuilding,NSE SME,Pantomath Capital,2017,2006-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pantomath Stock Brokers Pvt.Ltd.,chittorgarh,11,chittorgarh,0.00,chittorgarh,0.0,chittorgarh,,,57.10,chittorgarh,60.50,chittorgarh,57.00,chittorgarh,58.80,chittorgarh,Working Capital Requirements | General Corporate Purposes,chittorgarh,11,chittorgarh
INE105Y01019,Madhya Pradesh Today Media Ltd.,SME,MPTODAY,,2017-09-19,2017-09-21,2017-09-29,66.00,14.18,Fixed Price,NSE SME,Mark Corporate,2017,2006-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sparkle Securities Solutions Pvt.Ltd.,chittorgarh,13,chittorgarh,1.00,chittorgarh,7.1,chittorgarh,,,70.00,chittorgarh,79.20,chittorgarh,68.00,chittorgarh,79.20,chittorgarh,Expansion of Business by upgrading Unit Offices in various cities in the State of Madhya Pradesh and Chhatisgarh | Working Capital Requirements | General Corporate Expenses | Issue Expenses,chittorgarh,14,chittorgarh
INE196Y01018,Worth Peripherals Ltd.,SME,WORTHPERI,544577,2017-09-15,2017-09-19,2017-09-27,43.00,18.28,Bookbuilding,NSE SME,Pantomath Capital,2017,2006-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pantomath Stock Brokers Pvt.Ltd.,chittorgarh,17,chittorgarh,1.00,chittorgarh,5.6,chittorgarh,,,51.60,chittorgarh,51.60,chittorgarh,51.60,chittorgarh,51.60,chittorgarh,Purchase of Plant & Machinery | Repayment/prepayment of all or certain of the borrowings availed of by the Company | Funding working capital requirements of the company | General Corporate Purposes,chittorgarh,18,chittorgarh
INE146Y01013,Sagar Diamonds Ltd.,SME,,540715,2017-09-14,2017-09-18,2017-09-26,45.00,15.21,Bookbuilding,BSE SME,Gretex Corporate,2017,2006-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gretex Share Broking Pvt.Ltd.,chittorgarh,14,chittorgarh,1.00,chittorgarh,6.7,chittorgarh,,,35.55,chittorgarh,35.55,chittorgarh,35.00,chittorgarh,35.00,chittorgarh,To Meet working capital requirementTo Meet working capital requirement | Public issue expenses | General corporate purpose,chittorgarh,15,chittorgarh
INE672X01010,Sri Krishna Metcom Ltd.,SME,BABAFOOD,,2017-09-14,2017-09-18,2017-09-26,55.00,19.25,Fixed Price,NSE SME,Microsec Capital,2017,2006-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Microsec Capital Ltd.,chittorgarh,2,chittorgarh,16,chittorgarh,84.2,chittorgarh,,,53.95,chittorgarh,53.95,chittorgarh,44.00,chittorgarh,49.00,chittorgarh,Working Capital requirement | Issue Expenses,chittorgarh,19,chittorgarh
INE104Y01012,Manav infra projects Ltd.,SME,MANAV,,2017-09-04,2017-09-08,2017-09-18,30.00,5.51,Fixed Price,NSE SME,Navigant Corporate,2017,2006-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alacrity Securities Ltd.,chittorgarh,5,chittorgarh,1.00,chittorgarh,16.7,chittorgarh,,,32.00,chittorgarh,33.00,chittorgarh,24.00,chittorgarh,24.00,chittorgarh,To part finance incremental working capital requirements of the Company | General corporate purposes,chittorgarh,6,chittorgarh
INE555X01017,Nouritrans Exim Ltd.,SME,,540698,2017-09-04,2017-09-07,2017-09-15,30.00,6.12,Fixed Price,BSE SME,First Overseas,2017,2006-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Guiness Securities Ltd.,chittorgarh,6,chittorgarh,0.00,chittorgarh,0.0,chittorgarh,,,26.05,chittorgarh,29.20,chittorgarh,24.00,chittorgarh,24.30,chittorgarh,Working Capital | General Corporate Expenses | Issue Expenses,chittorgarh,6,chittorgarh
INE319X01018,A & M Febcon Ltd.,SME,,540697,2017-09-01,2017-09-06,2017-09-14,18.00,6.68,Fixed Price,BSE SME,Gretex Corporate,2017,2006-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gretex Share Broking Pvt.Ltd.,chittorgarh,6,chittorgarh,1.00,chittorgarh,14.3,chittorgarh,,,18.00,chittorgarh,18.60,chittorgarh,14.40,chittorgarh,18.00,chittorgarh,To Meet working capital requirement | General corporate purpose,chittorgarh,7,chittorgarh
INE109Y01011,Dhruv Wellness Ltd.,SME,,540695,2017-08-31,2017-09-04,2017-09-12,20.00,5.57,Fixed Price,BSE SME,Gretex Corporate,2017,2006-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NNM Securities Pvt.Ltd.,chittorgarh,5,chittorgarh,1.00,chittorgarh,16.7,chittorgarh,,,19.60,chittorgarh,20.20,chittorgarh,19.35,chittorgarh,19.50,chittorgarh,Working Capital Requirement | General Corporate Purpose | Public Issue Expenses,chittorgarh,6,chittorgarh
INE236W01016,ANG Lifesciences India Ltd.,SME,,540694,2017-08-29,2017-08-31,2017-09-08,80.00,12.01,Fixed Price,BSE SME,Oneview Corporate,2017,2006-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Guiness Securities Ltd.,chittorgarh,11,chittorgarh,1.00,chittorgarh,8.3,chittorgarh,,,96.00,chittorgarh,96.00,chittorgarh,96.00,chittorgarh,96.00,chittorgarh,To meet the working capital requirement | To meet the Issue Expenses,chittorgarh,12,chittorgarh
INE124Y01028,Pashupati Cotspin Ltd.,SME,PASHUPATI,544448,2017-08-28,2017-08-31,2017-09-08,75.00,20.88,Fixed Price,NSE SME,Hem Securities,2017,2006-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Monarch Networth Capital Ltd.,chittorgarh,19,chittorgarh,2.00,chittorgarh,9.5,chittorgarh,,,77.00,chittorgarh,77.00,chittorgarh,75.00,chittorgarh,75.00,chittorgarh,Expansion of Business through strategic investment | Additional Working Capital | General Corporate Expenses,chittorgarh,21,chittorgarh
INE145Y01023,Shish Industries Ltd.,SME,,540693,2017-08-23,2017-08-28,2017-09-05,30.00,4.06,Fixed Price,BSE SME,Corporate Capitalventures,2017,2006-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beeline Broking Ltd.,chittorgarh,4,chittorgarh,0.00,chittorgarh,0.0,chittorgarh,,,32.00,chittorgarh,36.00,chittorgarh,32.00,chittorgarh,32.95,chittorgarh,Capital Expenditure | Incremental Working Capital | General Corporate Purpose | Public Issue Expenses,chittorgarh,4,chittorgarh
INE782X01033,Servotech Power Systems Ltd.,SME,SERVOTECH,,2017-08-09,2017-08-14,2017-08-24,31.00,15.13,Fixed Price,NSE SME,Sarthi Capital Advisors,2017,2006-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Choice Equity Broking Pvt.Ltd.,chittorgarh,14,chittorgarh,1.00,chittorgarh,6.7,chittorgarh,,,30.70,chittorgarh,32.00,chittorgarh,30.70,chittorgarh,31.85,chittorgarh,Working Capital Requirements | General Corporate Purpose | Issue Expenses,chittorgarh,15,chittorgarh
INE669X01032,Geekay Wires Ltd.,SME,GEEKAYWIRE,,2017-08-09,2017-08-14,2017-08-24,33.00,11.00,Fixed Price,NSE SME,Aryaman Financial,2017,2006-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aryaman Capital Markets Ltd.,chittorgarh,10,chittorgarh,1.00,chittorgarh,9.1,chittorgarh,,,33.35,chittorgarh,33.70,chittorgarh,33.15,chittorgarh,33.25,chittorgarh,Long term working capital requirement | Expenditure for General Corporate Purposes,chittorgarh,11,chittorgarh
INE500X01013,Lexus Granito (India) Ltd.,SME,LEXUS,,2017-08-09,2017-08-11,2017-08-23,45.00,25.92,Bookbuilding,NSE SME,Pantomath Capital,2017,2006-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pantomath Stock Brokers Pvt.Ltd.,chittorgarh,25,chittorgarh,1.00,chittorgarh,3.8,chittorgarh,,,53.00,chittorgarh,54.00,chittorgarh,53.00,chittorgarh,54.00,chittorgarh,Working Capital Requirement | General corporate purposes,chittorgarh,26,chittorgarh
INE344X01016,Ashok Masala Mart Ltd.,SME,,540681,2017-08-07,2017-08-11,2017-08-22,10.00,2.01,Fixed Price,BSE SME,Navigant Corporate,2017,2006-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alacrity Securities Ltd.,chittorgarh,2,chittorgarh,0.00,chittorgarh,0.0,chittorgarh,,,9.50,chittorgarh,9.50,chittorgarh,9.50,chittorgarh,9.50,chittorgarh,To part-finance the purchase of new corporate office and its interior expenses | To part-finance incremental working capital requirements | General Corporate Purpose,chittorgarh,2,chittorgarh
INE972X01022,Vaishali Pharma Ltd.,SME,VAISHALI,,2017-08-07,2017-08-10,2017-08-22,72.00,14.23,Bookbuilding,NSE SME,Pantomath Capital,2017,2006-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pantomath Stock Brokers Pvt.Ltd.,chittorgarh,13,chittorgarh,1.00,chittorgarh,7.1,chittorgarh,,,71.90,chittorgarh,73.00,chittorgarh,66.55,chittorgarh,70.35,chittorgarh,Working Capital Requirement | General corporate purposes,chittorgarh,14,chittorgarh
INE082W01014,Surevin BPO Services Ltd.,SME,WEWIN,543535,2017-07-28,2017-08-01,2017-08-09,40.00,3.65,Bookbuilding,NSE SME,Hem Securities,2017,2006-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hem Finlease Pvt.Ltd.,chittorgarh,3,chittorgarh,1.00,chittorgarh,25.0,chittorgarh,,,48.00,chittorgarh,48.00,chittorgarh,38.30,chittorgarh,40.20,chittorgarh,To Meet Working Capital Requirement | General Corporate Purpose,chittorgarh,4,chittorgarh
INE632W01016,Globalspace Technologies Ltd.,SME,,540654,2017-07-26,2017-07-28,2017-08-07,66.00,20.02,Fixed Price,BSE SME,Choice Capital,2017,2006-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Choice Equity Broking Pvt.Ltd.,chittorgarh,19,chittorgarh,1.00,chittorgarh,5.0,chittorgarh,,,60.05,chittorgarh,60.05,chittorgarh,60.05,chittorgarh,60.05,chittorgarh,Expenditure on Research and Development | Advertising and sales promotion | Funding incremental working capital requirements | General Corporate Purposes,chittorgarh,20,chittorgarh
INE336X01012,Total Transport Systems Ltd.,SME,TOTAL,,2017-07-25,2017-07-28,2017-08-07,45.00,17.01,Fixed Price,NSE SME,Sarthi Capital Advisors,2017,2006-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Choice Equity Broking Pvt.Ltd.,chittorgarh,16,chittorgarh,1.00,chittorgarh,5.9,chittorgarh,,,54.00,chittorgarh,54.00,chittorgarh,54.00,chittorgarh,54.00,chittorgarh,Working Capital Requirements | General Corporate Purpose | Issue Expenses,chittorgarh,17,chittorgarh
INE586X01012,Keerti Knowledge & Skills Ltd.,SME,GTECJAINX,,2017-07-24,2017-07-28,2017-08-07,52.00,4.06,Fixed Price,NSE SME,Navigant Corporate,2017,2006-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alacrity Securities Ltd.,chittorgarh,4,chittorgarh,0.00,chittorgarh,0.0,chittorgarh,,,51.00,chittorgarh,52.40,chittorgarh,49.00,chittorgarh,51.25,chittorgarh,"To Expand Company Owned and Company Operated (COCO) Centers through our wholly owned subsidiaries i.e. Keerti Institute India Private Limited (KIIPL) and Keerti Tutorials India Private Limited (KTIPL) | To Develop E- Applications and E Programs. | Developing an end to end software/ Portal for Recruitment, Training and Placement | General corporate purposes",chittorgarh,4,chittorgarh
INE933X01016,Shanti Overseas (India) Ltd.,SME,SHANTI,,2017-07-21,2017-07-26,2017-08-03,50.00,10.02,Fixed Price,NSE SME,Hem Securities,2017,2006-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hem Finlease Pvt.Ltd.,chittorgarh,9,chittorgarh,1.00,chittorgarh,10.0,chittorgarh,,,60.00,chittorgarh,60.00,chittorgarh,41.00,chittorgarh,42.90,chittorgarh,"To purchase machineries for the proposed Soyabean processing plant at Dhannad, Dist. Indore, Madhya Pradesh | To make investment in the Subsidiary Company, Shaan Agro Oils & Extractions Private Limited | To meet General Corporate Expenses",chittorgarh,10,chittorgarh
INE931X01010,Captain Technocast Ltd.,SME,,540652,2017-07-20,2017-07-24,2017-08-01,40.00,5.70,Fixed Price,BSE SME,Hem Securities,2017,2006-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hem Securities Ltd.,chittorgarh,3,chittorgarh,2,chittorgarh,33.3,chittorgarh,,,47.40,chittorgarh,48.50,chittorgarh,47.40,chittorgarh,48.50,chittorgarh,To Meet Working Capital Requirement | General Corporate Expenses,chittorgarh,6,chittorgarh
INE943X01015,Jigar Cables Ltd.,SME,,540651,2017-07-18,2017-07-20,2017-07-28,30.00,5.59,Fixed Price,BSE SME,Pantomath Capital,2017,2006-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pantomath Stock Brokers Pvt.Ltd.,chittorgarh,5,chittorgarh,1.00,chittorgarh,16.7,chittorgarh,,,33.15,chittorgarh,36.00,chittorgarh,33.00,chittorgarh,36.00,chittorgarh,"Repayment/ Prepayment , in full or in part, of certain borrowings availed by the Company | Working Capital requirements | General Corporate Purposes",chittorgarh,6,chittorgarh
INE562X01013,Univastu India Ltd.,SME,UNIVASTU,,2017-07-14,2017-07-19,2017-07-27,40.00,5.99,Fixed Price,NSE SME,Inventure Merchant Banker,2017,2006-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Inventure Growth & Securities Ltd.,chittorgarh,6,chittorgarh,0.00,chittorgarh,0.0,chittorgarh,,,48.00,chittorgarh,48.00,chittorgarh,38.50,chittorgarh,40.20,chittorgarh,Augmenting additional working capital requirements | Purchase of Equipment & Tools | General Corporate Purposes,chittorgarh,6,chittorgarh
INE632X01030,Shrenik Ltd.,SME,SHRENIK,,2017-07-06,2017-07-10,2017-07-18,40.00,21.60,Fixed Price,NSE SME,Pantomath Capital,2017,2006-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pantomath Stock Brokers Pvt.Ltd.,chittorgarh,20,chittorgarh,2.00,chittorgarh,9.1,chittorgarh,,,41.90,chittorgarh,48.00,chittorgarh,41.90,chittorgarh,48.00,chittorgarh,Working Capital Requirement | General corporate purposes,chittorgarh,22,chittorgarh
INE413X01035,7NR Retail Ltd.,SME,,540615,2017-07-05,2017-07-10,2017-07-18,27.00,5.12,Fixed Price,BSE SME,Oneview Corporate,2017,2006-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Guiness Securities Ltd.,chittorgarh,5,chittorgarh,0.00,chittorgarh,0.0,chittorgarh,,,27.00,chittorgarh,27.10,chittorgarh,26.75,chittorgarh,27.00,chittorgarh,To meet the working capital requirement | To meet the Issue Expenses,chittorgarh,5,chittorgarh
INE694X01030,G G Engineering Ltd.,SME,,540614,2017-06-30,2017-07-07,2017-07-17,20.00,2.23,Fixed Price,BSE SME,Navigant Corporate,2017,2006-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Naysaa Securities Ltd.,chittorgarh,2,chittorgarh,0.00,chittorgarh,0.0,chittorgarh,,,21.00,chittorgarh,21.00,chittorgarh,19.90,chittorgarh,20.70,chittorgarh,To part-finance incremental working capital requirements | General Corporate Purpose,chittorgarh,2,chittorgarh
INE668X01018,Bansal Multiflex Ltd.,SME,BANSAL,,2017-06-30,2017-07-04,2017-07-12,31.00,6.20,Fixed Price,NSE SME,Pantomath Capital,2017,2006-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pantomath Stock Brokers Pvt.Ltd.,chittorgarh,6,chittorgarh,0.00,chittorgarh,0.0,chittorgarh,,,34.00,chittorgarh,36.85,chittorgarh,32.70,chittorgarh,35.70,chittorgarh,Working Capital Requirement | General corporate purposes,chittorgarh,6,chittorgarh
INE792X01016,Transwind Infrastructures Ltd.,SME,TRANSWIND,,2017-06-30,2017-07-04,2017-07-12,27.00,7.29,Fixed Price,NSE SME,Swastika Investmart,2017,2006-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beeline Broking Ltd.,chittorgarh,7,chittorgarh,0.00,chittorgarh,0.0,chittorgarh,,,30.85,chittorgarh,32.40,chittorgarh,30.85,chittorgarh,32.40,chittorgarh,Capital Expenditure | Working Capital Requirement | General Corporate Purpose | Public Issue Expenses,chittorgarh,7,chittorgarh
INE543V01017,Ace Integrated Solutions Ltd.,SME,ACEINTEG,,2017-06-29,2017-07-05,2017-07-13,40.00,7.20,Fixed Price,NSE SME,D&A Financial,2017,2006-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Choice Equity Broking Pvt.Ltd.,chittorgarh,7,chittorgarh,0.00,chittorgarh,0.0,chittorgarh,,,38.90,chittorgarh,41.80,chittorgarh,38.90,chittorgarh,39.55,chittorgarh,Working Capital Requirement | General Corporate Purposes | Issue Expenses,chittorgarh,7,chittorgarh
INE721X01015,Gautam Exim Ltd.,SME,,540613,2017-06-29,2017-07-03,2017-07-11,40.00,3.32,Fixed Price,BSE SME,Pantomath Capital,2017,2006-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pantomath Stock Brokers Pvt.Ltd.,chittorgarh,3,chittorgarh,0.00,chittorgarh,0.0,chittorgarh,,,40.00,chittorgarh,44.70,chittorgarh,34.00,chittorgarh,43.85,chittorgarh,Working Capital Requirement | General corporate purposes,chittorgarh,3,chittorgarh
INE728W01012,Pushpanjali Realms & Infratech Ltd.,SME,PUSHPREALM,,2017-06-27,2017-06-30,2017-07-10,55.00,14.55,Fixed Price,NSE SME,Sarthi Capital Advisors,2017,2006-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Choice Equity Broking Pvt.Ltd.,chittorgarh,14,chittorgarh,1.00,chittorgarh,6.7,chittorgarh,,,55.00,chittorgarh,56.00,chittorgarh,52.00,chittorgarh,55.45,chittorgarh,To meet the fund requirements for execution of the Ongoing Projects including working Capital Requirements | General Corporate Purposes | Issue Expenses,chittorgarh,15,chittorgarh
INE113X01015,Accord Synergy Ltd.,SME,ACCORD,,2017-06-22,2017-06-28,2017-07-06,60.00,5.83,Fixed Price,NSE SME,Hem Securities,2017,2006-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hem Finlease Pvt.Ltd.,chittorgarh,5,chittorgarh,1.00,chittorgarh,16.7,chittorgarh,,,72.00,chittorgarh,72.00,chittorgarh,72.00,chittorgarh,72.00,chittorgarh,To Meet Working Capital Requirement | General Corporate Expenses,chittorgarh,6,chittorgarh
INE581X01021,Globe Textiles (India) Ltd.,SME,GLOBE,,2017-06-12,2017-06-15,2017-06-23,51.00,13.71,Fixed Price,NSE SME,Hem Securities,2017,2006-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hem Finlease Pvt.Ltd.,chittorgarh,6,chittorgarh,7,chittorgarh,50.0,chittorgarh,,,50.00,chittorgarh,52.00,chittorgarh,43.70,chittorgarh,50.15,chittorgarh,To Meet Working Capital Requirement | General Corporate Expenses,chittorgarh,14,chittorgarh
INE325X01015,Riddhi Corporate Services Ltd.,SME,,540590,2017-06-12,2017-06-15,2017-06-22,130.00,12.35,Fixed Price,BSE SME,Gretex Corporate,2017,2006-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beeline Broking Ltd.,chittorgarh,12,chittorgarh,0.00,chittorgarh,0.0,chittorgarh,,,135.10,chittorgarh,135.10,chittorgarh,134.50,chittorgarh,134.50,chittorgarh,Acquisitions and Other Strategic Initiatives | Capital Expenditure | General Corporate Purpose | Public Issue Expenses,chittorgarh,12,chittorgarh
INE634W01012,Shri Ram Switchgears Ltd.,SME,SRIRAM,,2017-05-25,2017-05-30,2017-06-07,19.00,5.07,Fixed Price,NSE SME,Sarthi Capital Advisors,2017,2006-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Choice Equity Broking Pvt.Ltd.,chittorgarh,5,chittorgarh,0.00,chittorgarh,0.0,chittorgarh,,,22.80,chittorgarh,22.80,chittorgarh,22.80,chittorgarh,22.80,chittorgarh,Working Capital Requirements including margin money | Issue Expenses,chittorgarh,5,chittorgarh
INE551Q01028,Vadivarhe Speciality Chemicals Ltd.,SME,VSCL,,2017-05-22,2017-05-25,2017-06-02,42.00,14.46,Fixed Price,NSE SME,Hem Securities,2017,2006-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hem Finlease Pvt.Ltd.,chittorgarh,2,chittorgarh,12,chittorgarh,85.7,chittorgarh,,,50.40,chittorgarh,50.40,chittorgarh,50.40,chittorgarh,50.40,chittorgarh,To Meet Working Capital Requirement | General Corporate Expenses,chittorgarh,14,chittorgarh
INE796W01019,Yug Decor Ltd.,SME,,540550,2017-05-18,2017-05-23,2017-05-31,26.00,2.88,Fixed Price,BSE SME,Gretex Corporate,2017,2006-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gretex Share Broking Pvt.Ltd.,chittorgarh,3,chittorgarh,0.00,chittorgarh,0.0,chittorgarh,,,27.00,chittorgarh,29.90,chittorgarh,26.05,chittorgarh,26.10,chittorgarh,Working Capital Requirement | General Corporate Purpose | Public Issue Expenses,chittorgarh,3,chittorgarh
INE349X01015,Jalan Transolutions (India) Ltd.,SME,JALAN,,2017-05-18,2017-05-23,2017-05-31,46.00,17.71,Fixed Price,NSE SME,Sarthi Capital Advisors,2017,2006-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Choice Equity Broking Pvt.Ltd.,chittorgarh,17,chittorgarh,1.00,chittorgarh,5.6,chittorgarh,,,42.25,chittorgarh,43.00,chittorgarh,40.55,chittorgarh,41.95,chittorgarh,"Payment for Purchase of goods transportation vehicles | Repayment/pre-payment, in full or part, of certain borrowings availed by the Company | General corporate purposes",chittorgarh,18,chittorgarh
INE986W01016,Bhakti Gems & Jewellery Ltd.,SME,,540545,2017-05-17,2017-05-22,2017-05-30,20.00,3.92,Fixed Price,BSE SME,Oneview Corporate,2017,2006-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Guiness Securities Ltd.,chittorgarh,4,chittorgarh,0.00,chittorgarh,0.0,chittorgarh,,,18.70,chittorgarh,20.35,chittorgarh,18.50,chittorgarh,20.05,chittorgarh,Funding working capital requirements of the Company | Issue Expenses,chittorgarh,4,chittorgarh
INE343X01026,Meera Industries Ltd.,SME,,540519,2017-04-27,2017-05-04,2017-05-15,36.00,3.89,Fixed Price,BSE SME,Oneview Corporate,2017,2006-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Guiness Securities Ltd.,chittorgarh,4,chittorgarh,0.00,chittorgarh,0.0,chittorgarh,,,36.00,chittorgarh,37.00,chittorgarh,33.00,chittorgarh,36.05,chittorgarh,"To purchase additional plant and machineries for the existing manufacturing facility at Surat, Gujarat | Setting up of new manufacturing facility to manufacture yarn at Surat, Gujarat | Funding of working capital requirements of the Company | General Corporate Expenses | Total",chittorgarh,4,chittorgarh
INE358U01012,Zota Health Care Ltd.,SME,ZOTA,,2017-04-27,2017-05-02,2017-05-10,125.00,58.50,Bookbuilding,NSE SME,Indian Overseas Bank,2017,2006-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pantomath Stock Brokers Pvt.Ltd.,chittorgarh,37,chittorgarh,19,chittorgarh,32.2,chittorgarh,,,140.40,chittorgarh,144.35,chittorgarh,125.50,chittorgarh,125.60,chittorgarh,Repayment/prepayment of certain borrowings availed by the Company | Working capital requirement | General Corporate Purpose,chittorgarh,59,chittorgarh
INE594W01042,Pure Giftcarat Ltd.,SME,,540492,2017-04-26,2017-04-28,2017-05-08,13.00,7.45,Fixed Price,BSE SME,Navigant Corporate,2017,2006-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alacrity Securities Ltd.,chittorgarh,7,chittorgarh,0.00,chittorgarh,0.0,chittorgarh,,,10.80,chittorgarh,14.50,chittorgarh,10.80,chittorgarh,13.25,chittorgarh,To Meet Working Capital Requirement | Public Issue Expenses | General Corporate Purpose,chittorgarh,7,chittorgarh
INE977V01017,CKP Products Ltd.,SME,CKPPRODUCT,,2017-04-26,2017-04-28,2017-05-09,50.00,6.24,Fixed Price,NSE SME,Aryaman Financial,2017,2006-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aryaman Capital Markets Ltd.,chittorgarh,6,chittorgarh,0.00,chittorgarh,0.0,chittorgarh,,,50.00,chittorgarh,53.10,chittorgarh,50.00,chittorgarh,50.15,chittorgarh,"Funding Working Capital Requirements | Incorporation and Capitalization of Overseas Subsidiary in Ras Al Khaimah (RAK), UAE | General Corporate Purposes",chittorgarh,6,chittorgarh
