symbol,yahoo_date,nse_date,yahoo_ratio,nse_ratio,nse_action_type,date_diff_days,status
DIXON,2021-03-18,2021-03-18,5.0,5.0,split,0,MATCH
DJML,2024-08-09,2024-08-09,3.0,3.0,bonus,0,MATCH
DPWIRES,2023-11-08,2023-11-08,1.1428571428571428,1.142857,bonus,0,MATCH
DYCL,2025-07-11,2025-07-11,2.0,2.0,bonus,0,MATCH
E2E,2026-06-05,2026-06-05,10.0,10.0,split,0,MATCH
EASEMYTRIP,2022-02-24,2022-02-28,2.0,2.0,bonus,4,MATCH
EASEMYTRIP,2022-11-21,2022-11-21,4.0,4.0,bonus,0,MATCH
EASEMYTRIP,2024-11-28,2024-11-29,2.0,2.0,bonus,1,MATCH
ECLERX,2010-07-23,2010-07-23,1.5,1.5,bonus,0,MATCH
ECLERX,2015-12-17,2015-12-17,1.3333333333333333,1.333333,bonus,0,MATCH
ECLERX,2022-09-21,2022-09-21,1.5,1.5,bonus,0,MATCH
ECLERX,2026-03-13,2026-03-13,2.0,2.0,bonus,0,MATCH
EMKAYTOOLS,2018-09-24,2018-09-24,6.0,6.0,bonus,0,MATCH
ENGINERSIN,2016-12-30,2016-12-30,2.0,2.0,bonus,0,MATCH
ENSER,2025-01-03,2025-01-03,2.0,2.0,bonus,0,MATCH
ENSER,2025-02-07,2025-02-07,5.0,5.0,split,0,MATCH
ESFL,2024-12-13,2024-12-13,1.2,1.2,bonus,0,MATCH
EXXARO,2024-12-13,2024-12-13,10.0,10.0,split,0,MATCH
FCL,2015-02-12,2015-02-12,2.0,2.0,bonus,0,MATCH
FCL,2015-06-11,2015-06-11,5.0,5.0,split,0,MATCH
FIEMIND,2024-02-28,2024-02-28,2.0,2.0,bonus,0,MATCH
FOCUS,2019-07-22,2019-07-22,3.0,3.0,bonus,0,MATCH
FOCUS,2023-10-06,2023-10-06,5.0,5.0,split,0,MATCH
GANGAFORGE,2021-01-11,2021-01-11,1.3333333333333333,1.333333,bonus,0,MATCH
GANGAFORGE,2021-09-09,2021-09-13,10.0,10.0,split,4,MATCH
GAYAPROJ,2017-02-10,2017-02-10,5.0,5.0,split,0,MATCH
GEEKAYWIRE,2023-10-23,2023-10-23,5.0,5.0,split,0,MATCH
GEEKAYWIRE,2025-10-24,2025-10-30,2.0,2.0,split,6,MATCH
GENSOL,2023-10-17,2023-10-17,3.0,3.0,bonus,0,MATCH
GICL,2021-03-18,2021-03-18,1.25,1.25,bonus,0,MATCH
GICL,2022-10-12,2022-10-12,2.0,2.0,bonus,0,MATCH
GICRE,2018-07-12,2018-07-12,2.0,2.0,bonus,0,MATCH
GIRIRAJ,2023-11-03,2023-11-03,5.0,5.0,bonus,0,MATCH
GLOBAL,2020-11-12,2020-11-12,4.1,4.1,bonus,0,MATCH
GLOBAL,2022-10-19,2022-10-19,2.0,2.0,split,0,MATCH
GLOBAL,2024-12-10,2024-12-10,2.5,2.5,split,0,MATCH
GLOBE,2021-07-29,2021-08-03,3.0,3.0,bonus,5,MATCH
GMRAIRPORT,2007-09-28,2007-09-28,5.0,5.0,split,0,MATCH
GMRAIRPORT,2009-10-01,2009-10-01,2.0,2.0,split,0,MATCH
GNA,2023-09-01,2023-09-01,2.0,2.0,bonus,0,MATCH
GODREJPROP,2013-11-21,2013-11-21,2.0,2.0,split,0,MATCH
GOENKA,2012-10-25,2012-10-25,10.0,10.0,split,0,MATCH
GOKUL,2009-10-14,2009-10-14,5.0,5.0,split,0,MATCH
GOLDSTAR,2023-01-20,2023-01-20,1.8,1.8,bonus,0,MATCH
GOLDSTAR,2023-07-19,2023-07-19,1.25,1.25,bonus,0,MATCH
GOYALALUM,2023-04-25,2023-04-25,10.0,10.0,split,0,MATCH
GPIL,2021-10-26,2021-10-26,2.0,2.0,bonus,0,MATCH
GPIL,2024-10-04,2024-10-04,5.0,5.0,split,0,MATCH
GRAVITA,2012-05-25,2012-05-25,5.0,5.0,split,0,MATCH
GULPOLY,2023-06-21,2023-06-21,1.2,1.2,bonus,0,MATCH
GVKPIL,2008-02-08,2008-02-08,10.0,10.0,split,0,MATCH
HAL,2023-09-28,2023-09-28,2.0,2.0,split,0,MATCH
HARDWYN,2022-07-21,2022-07-25,1.5,1.5,bonus,4,MATCH
HARDWYN,2024-12-27,2024-12-27,1.4,1.4,bonus,0,MATCH
HATHWAY,2015-01-06,2015-01-06,5.0,5.0,split,0,MATCH
HDFCAMC,2025-11-26,2025-11-26,2.0,2.0,bonus,0,MATCH
HECPROJECT,2021-10-07,2021-10-07,5.0,5.0,bonus,0,MATCH
HINDCON,2023-11-10,2023-11-10,5.0,5.0,split,0,MATCH
HITECH,2023-03-17,2023-03-17,10.0,10.0,split,0,MATCH
HMAAGRO,2023-12-29,2023-12-29,10.0,10.0,split,0,MATCH
HPAL,2023-11-09,2023-11-09,5.0,5.0,split,0,MATCH
ICICIBANK,2014-12-04,2014-12-04,5.0,5.0,split,0,MATCH
ICICIBANK,2017-06-20,2017-06-20,1.1,1.1,bonus,0,MATCH
IEX,2018-10-19,2018-10-19,10.0,10.0,split,0,MATCH
IEX,2021-12-03,2021-12-03,3.0,3.0,bonus,0,MATCH
INDIAMART,2023-06-21,2023-06-21,2.0,2.0,bonus,0,MATCH
INDOTHAI,2025-07-18,2025-07-18,10.0,10.0,split,0,MATCH
INFINIUM,2023-09-13,2023-09-13,2.0,2.0,bonus,0,MATCH
INFOBEAN,2026-02-27,2026-02-27,4.0,4.0,bonus,0,MATCH
INM,2025-12-05,2025-12-05,2.0,2.0,bonus,0,MATCH
INNOVANA,2019-12-17,2019-12-17,2.5,2.5,bonus,0,MATCH
INNOVANA,2023-03-29,2023-03-29,2.0,2.0,bonus,0,MATCH
INOXWIND,2024-05-17,2024-05-24,4.0,4.0,bonus,7,MATCH
INSECTICID,2015-04-16,2015-04-16,1.5,1.5,bonus,0,MATCH
INSECTICID,2022-09-30,2022-09-30,1.5,1.5,bonus,0,MATCH
INVENTURE,2021-06-24,2021-06-24,10.0,10.0,split,0,MATCH
IRB,2023-02-22,2023-02-22,10.0,10.0,split,0,MATCH
IRB,2026-03-30,2026-03-30,2.0,2.0,bonus,0,MATCH
IRCON,2020-04-03,2020-04-03,5.0,5.0,split,0,MATCH
IRCON,2021-05-20,2021-05-20,2.0,2.0,bonus,0,MATCH
IRCTC,2021-10-28,2021-10-28,5.0,5.0,split,0,MATCH
IRISDOREME,2020-10-14,2020-10-14,3.5,3.5,bonus,0,MATCH
IRISDOREME,2023-08-11,2023-08-11,5.0,5.0,split,0,MATCH
IRISDOREME,2025-07-04,2025-07-04,2.0,2.0,bonus,0,MATCH
JAGRAN,2008-01-09,2008-01-09,5.0,5.0,split,0,MATCH
JAKHARIA,2025-10-08,2025-10-08,3.0,3.0,bonus,0,MATCH
JASH,2024-10-30,2024-10-30,5.0,5.0,split,0,MATCH
JETFREIGHT,2018-09-12,2018-09-12,2.0,2.0,bonus,0,MATCH
JETFREIGHT,2022-05-19,2022-05-19,2.0,2.0,split,0,MATCH
JFLLIFE,2024-09-24,2024-09-24,3.0,3.0,bonus,0,MATCH
JKIL,2015-12-10,2015-12-10,2.0,2.0,split,0,MATCH
JSLL,2023-11-02,2023-11-02,1.8,1.8,bonus,0,MATCH
JUBLFOOD,2018-06-21,2018-06-21,2.0,2.0,bonus,0,MATCH
JUBLFOOD,2022-04-19,2022-04-19,5.0,5.0,split,0,MATCH
JYOTHYLAB,2008-12-12,2008-12-12,5.0,5.0,split,0,MATCH
