symbol,original_symbol,yahoo_date,yahoo_ratio,is_bse_code,status
542724,542724.BO,2025-07-29,1.1,True,YAHOO_ONLY
542724,542724.BO,2025-08-07,1.1,True,YAHOO_ONLY
542770,542770.BO,2021-08-09,3.7,True,YAHOO_ONLY
542770,542770.BO,2021-10-05,2.0,True,YAHOO_ONLY
542770,542770.BO,2022-09-21,1.5,True,YAHOO_ONLY
542770,542770.BO,2023-12-15,1.3333333333333333,True,YAHOO_ONLY
542770,542770.BO,2024-07-12,1.2916666666666667,True,YAHOO_ONLY
542802,542802.BO,2021-09-27,2.0,True,YAHOO_ONLY
542802,542802.BO,2022-06-16,10.0,True,YAHOO_ONLY
542918,542918.BO,2022-03-29,2.2,True,YAHOO_ONLY
542924,542924.BO,2022-11-28,2.3333333333333335,True,YAHOO_ONLY
543171,543171.BO,2022-06-02,3.5625,True,YAHOO_ONLY
543171,543171.BO,2023-03-17,5.0,True,YAHOO_ONLY
543194,543194.BO,2022-04-12,6.0,True,YAHOO_ONLY
543194,543194.BO,2022-04-25,6.0,True,YAHOO_ONLY
543239,543239.BO,2023-01-04,7.0,True,YAHOO_ONLY
543241,543241.BO,2023-08-18,2.0,True,YAHOO_ONLY
543244,543244.BO,2021-11-15,2.0,True,YAHOO_ONLY
543244,543244.BO,2025-07-25,8.0,True,YAHOO_ONLY
543262,543262.BO,2023-10-13,3.0,True,YAHOO_ONLY
543274,543274.BO,2021-11-17,3.0,True,YAHOO_ONLY
543284,543284.BO,2022-06-30,4.0,True,YAHOO_ONLY
543285,543285.BO,2024-12-19,2.0,True,YAHOO_ONLY
543305,543305.BO,2022-11-29,2.0,True,YAHOO_ONLY
543310,543310.BO,2026-03-24,2.0,True,YAHOO_ONLY
543312,543312.BO,2023-08-23,1.8,True,YAHOO_ONLY
543312,543312.BO,2025-07-17,1.58,True,YAHOO_ONLY
543319,543319.BO,2025-01-08,10.0,True,YAHOO_ONLY
543351,543351.BO,2024-04-19,3.0,True,YAHOO_ONLY
543372,543372.BO,2025-01-02,10.0,True,YAHOO_ONLY
543373,543373.BO,2023-09-22,2.0,True,YAHOO_ONLY
543373,543373.BO,2023-10-27,2.0,True,YAHOO_ONLY
543375,543375.BO,2024-04-08,2.0,True,YAHOO_ONLY
543378,543378.BO,2026-01-02,5.0,True,YAHOO_ONLY
543410,543410.BO,2025-08-28,2.6,True,YAHOO_ONLY
543435,543435.BO,2024-07-08,5.0,True,YAHOO_ONLY
543443,543443.BO,2025-02-14,10.0,True,YAHOO_ONLY
543453,543453.BO,2025-07-11,1.5,True,YAHOO_ONLY
543464,543464.BO,2023-10-06,2.0,True,YAHOO_ONLY
543464,543464.BO,2023-10-27,2.0,True,YAHOO_ONLY
543499,543499.BO,2023-04-25,1.5,True,YAHOO_ONLY
543499,543499.BO,2024-12-10,10.0,True,YAHOO_ONLY
543515,543515.BO,2023-09-08,2.0,True,YAHOO_ONLY
543515,543515.BO,2024-04-03,1.5,True,YAHOO_ONLY
543516,543516.BO,2023-12-07,2.8,True,YAHOO_ONLY
543538,543538.BO,2024-07-15,5.0,True,YAHOO_ONLY
543538,543538.BO,2024-07-31,5.0,True,YAHOO_ONLY
543542,543542.BO,2024-03-19,7.0,True,YAHOO_ONLY
543544,543544.BO,2023-03-01,3.0,True,YAHOO_ONLY
543545,543545.BO,2023-05-16,1.6666666666666667,True,YAHOO_ONLY
543545,543545.BO,2023-05-19,10.0,True,YAHOO_ONLY
543578,543578.BO,2023-11-20,1.85,True,YAHOO_ONLY
543619,543619.BO,2025-10-16,1.6,True,YAHOO_ONLY
543624,543624.BO,2024-02-05,1.25,True,YAHOO_ONLY
543656,543656.BO,2025-01-27,2.0,True,YAHOO_ONLY
543746,543746.BO,2024-02-21,6.0,True,YAHOO_ONLY
543782,543782.BO,2025-11-21,1.2,True,YAHOO_ONLY
543787,543787.BO,2026-03-10,1.1,True,YAHOO_ONLY
543828,543828.BO,2024-11-18,10.0,True,YAHOO_ONLY
543831,543831.BO,2025-07-18,1.5,True,YAHOO_ONLY
543848,543848.BO,2026-05-15,2.0,True,YAHOO_ONLY
543937,543937.BO,2023-11-24,2.0,True,YAHOO_ONLY
543938,543938.BO,2024-09-12,1.6,True,YAHOO_ONLY
