scrip_id,Scrip_Name,ISIN_NUMBER,GROUP
TEGA,Tega Industries Ltd,INE011K01018,A
MAHKTECH,Mirae Asset Hang Seng TECH ETF,INF769K01HS7,B
ANANDRATHI,Anand Rathi Wealth Ltd,INE463V01026,A
ZODIAC,Zodiac Energy Ltd,INE761Y01019,T
RATEGAIN,RateGain Travel Technologies Ltd,INE0CLI01024,A
SHRIRAMPPS,Shriram Properties Ltd,INE217L01019,B
JETFREIGHT,Jet Freight Logistics Ltd,INE982V01025,B
MAPMYINDIA,C.E. Info Systems Ltd,INE0BV301023,A
METROBRAND,Metro Brands Ltd,INE317I01021,A
MEDPLUS,Medplus Health Services Ltd,INE804L01022,A
DATAPATTNS,Data Patterns (India) Ltd,INE0IX101010,A
HPAL,HP Adhesives Ltd,INE0GSL01024,B
SUPRIYA,Supriya Lifescience Ltd,INE07RO01027,A
CLARA,Clara Industries Ltd,INE0JJS01014,M
WITS,Wherrelz IT Solutions Ltd,INE0IM001015,TS
MONQ50,Motilal Oswal Nasdaq Q 50 ETF,INF247L01AU3,B
MIDQ50ADD,DSP Nifty Midcap 150 Quality 50 ETF,INF740KA1QL0,B
NIFTYADD,DSP Nifty 50 ETF,INF740KA1CL0,B
CMSINFO,CMS Info Systems Ltd,INE925R01014,A
BCONCEPTS,Brand Concepts Ltd,INE977Y01011,B
ASCENSIVE,Ascensive Educare Ltd,INE0E4I01027,MS
FABINO,Fabino Enterprises Ltd,INE0DRT01018,MT
WEL,Wonder Electricals Ltd,INE02WG01024,B
AUTOIETF,ICICI Prudential Nifty Auto ETF,INF109KC10V2,B
ALKOSIGN,Alkosign Ltd,INE0KA601012,M
MAKEINDIA,Mirae Asset Nifty India Manufacturing ETF,INF769K01IB1,B
AWL,AWL Agri Business Ltd,INE699H01024,A
QRIL,Quality RO Industries Ltd,INE0KAF01018,M
SSTL,Safa Systems & Technologies Ltd,INE0JNA01014,M
DEVIT,Dev Information Technology Ltd,INE060X01034,B
MANYAVAR,Vedant Fashions Ltd,INE825V01034,A
SPITZE,Maruti Interior Products Ltd,INE0JSJ01014,MT
MOMOMENTUM,Motilal Oswal Nifty 200 Momentum 30 ETF,INF247L01BK2,B
SOFTTECH,Softtech Engineers Ltd,INE728Z01015,T
